Results from heasarc_fermigtrig: Fermi GBM Trigger Catalog
Coordinate system: Equatorial
|trigger_name|name          |ra        |dec      |time                   |end_time               |trigger_time           |trigger_type|reliability|
|bn240628732 |LOCLPAR2406287|06 10 28.0|-59 31 00|2024-06-28 17:31:21.645|2024-06-28 17:41:36.057|2024-06-28 17:33:36.816|LOCLPAR     |     1.0000|
|bn240930172 |LOCLPAR2409301|05 18 52.0|-59 23 00|2024-09-30 04:05:36.524|2024-09-30 04:15:55.120|2024-09-30 04:07:53.832|LOCLPAR     |     1.0000|
|bn240729575 |LOCLPAR2407295|08 09 40.8|-59 01 48|2024-07-29 13:46:08.933|2024-07-29 13:48:52.776|2024-07-29 13:47:57.479|LOCLPAR     |     1.0000|
|bn240508924 |UNCERT24050892|06 17 45.6|-58 54 36|2024-05-08 22:08:50.732|2024-05-08 22:19:05.145|2024-05-08 22:11:04.879|UNCERT      |     1.0000|
|bn240517612 |GRB240517612  |16 39 43.2|-58 18 36|2024-05-17 14:39:37.516|2024-05-17 14:49:51.926|2024-05-17 14:41:50.126|GRB         |     0.9490|
|bn240513795 |TGF240513795  |06 21 28.0|-58 01 00|2024-05-13 19:03:05.958|2024-05-13 19:13:20.370|2024-05-13 19:05:18.617|TGF         |     1.0000|
|bn240912590 |TGF240912590  |04 19 56.0|-57 59 00|2024-09-12 14:06:42.134|2024-09-12 14:16:56.543|2024-09-12 14:08:57.096|TGF         |     1.0000|
|bn241010924 |LOCLPAR2410109|04 52 43.2|-57 49 48|2024-10-10 22:07:51.622|2024-10-10 22:18:09.799|2024-10-10 22:10:07.548|LOCLPAR     |     1.0000|
|bn240525769 |TGF240525769  |21 57 28.1|-57 24 00|2024-05-25 18:25:16.171|2024-05-25 18:35:30.582|2024-05-25 18:27:33.965|TGF         |     1.0000|
|bn240424745 |TGF240424745  |20 22 55.9|-57 10 00|2024-04-24 17:50:54.825|2024-04-24 18:01:09.235|2024-04-24 17:53:12.987|TGF         |     1.0000|
|bn240315087 |UNCERT24031508|22 47 16.1|-57 09 00|2024-03-15 02:03:16.597|2024-03-15 02:13:31.007|2024-03-15 02:05:31.239|UNCERT      |     1.0000|
|bn240811956 |TGF240811956  |22 36 40.0|-57 04 00|2024-08-11 22:54:36.440|2024-08-11 23:04:50.852|2024-08-11 22:56:53.914|TGF         |     1.0000|
|bn240926628 |LOCLPAR2409266|08 14 40.1|-57 00 00|2024-09-26 15:02:32.319|2024-09-26 15:05:04.897|2024-09-26 15:04:45.441|LOCLPAR     |     1.0000|
|bn240731883 |LOCLPAR2407318|11 15 48.0|-56 54 00|2024-07-31 21:09:19.221|2024-07-31 21:14:30.523|2024-07-31 21:11:32.344|LOCLPAR     |     1.0000|
